text,label
"Хочу новостройку в Сочи до 12 млн",1
"Куплю жильё в Туапсе",1
"Рассматриваю квартиру в Геленджике у пляжа",1
"Ищу квартиру в Ялте для родителей",1
"Хочу купить дом в Краснодаре с коммуникациями",1
"Нужна новостройка в Севастополе",1
"Планирую взять квартиру в Анапе",1
"Хочу жильё в Новороссийске",1
"Ищу дом в Симферополе",1
"Куплю квартиру в Адлере с парковкой",1
"Хочу однушку в новостройке в Сочи",1
"Рассматриваю жильё в Туапсе",1
"Нужна квартира в Анапе, ближе к морю",1
"Куплю дом в Геленджике",1
"Хочу студию в Севастополе",1
"Планирую покупку квартиры в Краснодаре",1
"Ищу жильё в Сочи с видом",1
"Хочу дом в Новороссийске с участком",1
"Рассматриваю новостройку в Адлере",1
"Куплю квартиру в Ялте для отдыха",1
"Нужна новостройка в Анапе",1
"Хочу купить дом в Сочи",1
"Планирую покупку квартиры в Симферополе",1
"Ищу жильё в Геленджике",1
"Хочу двухкомнатную квартиру в Туапсе",1
"Куплю студию в Краснодаре",1
"Нужен дом в Ялте",1
"Хочу квартиру в Адлере",1
"Рассматриваю дом в Анапе",1
"Ищу жильё в Севастополе",1
"Планирую купить новостройку в Сочи",1
"Куплю квартиру в Геленджике для семьи",1
"Хочу дом в Симферополе",1
"Нужна квартира в Новороссийске",1
"Ищу новостройку в Туапсе",1
"Хочу жильё в Анапе, ближе к морю",1
"Планирую приобрести квартиру в Ялте",1
"Куплю новостройку в Краснодаре",1
"Рассматриваю квартиру в Сочи",1
"Хочу однушку в Севастополе",1
"Нужна квартира в Геленджике для ПМЖ",1
"Ищу дом в Адлере",1
"Планирую покупку жилья в Анапе",1
"Хочу студию в Ялте",1
"Куплю жильё в Симферополе",1
"Нужна квартира в Туапсе",1
"Ищу новостройку в Сочи, район Мамайка",1
"Хочу дом в Севастополе",1
"Планирую взять квартиру в Геленджике",1
"Рассматриваю жильё в Анапе",1
"Ищу квартиру в Адлере",1
"Хочу новостройку в Новороссийске",1
"Нужна студия в Краснодаре",1
"Куплю дом в Симферополе",1
"Планирую покупку квартиры в Туапсе",1
"Хочу жильё в Ялте",1
"Ищу квартиру в новостройке в Сочи",1
"Куплю дом в Анапе до 20 млн",1
"Рассматриваю квартиру в Севастополе",1
"Хочу однушку в Геленджике",1
"Ищу жильё в Новороссийске",1
"Планирую покупку студии в Адлере",1
"Нужна квартира в Симферополе",1
"Хочу купить дом в Туапсе",1
"Куплю квартиру в Ялте",1
"Ищу новостройку в Краснодаре",1
"Хочу жильё в Анапе",1
"Планирую взять квартиру в Сочи",1
"Привет, кто уже ездил в Сочи этим летом?",0
"У кого есть опыт работы в риелторских агентствах?",0
"Кто-то знает хорошего мастера по ремонту?",0
"Подскажите, как получить налоговый вычет",0
"Я в Анапе сейчас, море тёплое",0
"Просто оставлю это здесь 😄",0
"Это агентство или частник?",0
"Скиньте прайс на услуги",0
"От души, классный видос!",0
"Какая разница между ЖК и апартами?",0
"Сегодня были сильные пробки в Геленджике",0
"Работаете с юрлицами?",0
"Какой район посоветуете для отпуска?",0
"Выглядит дорого",0
"Сколько метров до пляжа?",0
"Добрый вечер, когда собеседование?",0
"Какая температура воды?",0
"Красивый ремонт, кто делал?",0
"Планирую переехать, но пока не определился",0
"Есть кто-то из Севастополя?",0
"Это сторис или реальное фото?",0
"С праздником всех!",0
"Спасибо за информацию",0
"Кто сдаёт жильё на август?",0
"Работаете ли с застройщиками?",0
"Подскажите, где вкусно поесть в центре?",0
"Ищу дизайнера интерьера",0
"Нужно сделать обмеры помещения",0
"Как попасть в этот чат?",0
"Уже подписан, интересно",0
"Где это находится?",0
"Какая кухня на фото?",0
"Сколько стоит аренда на сутки?",0
"Это ваш объект?",0
"Какая комиссия у риелтора?",0
"Хочу сделать ремонт в таком же стиле",0
"Это какой район?",0
"Фото очень классные!",0
"Какой адрес офиса?",0
"Кто в Геленджике в августе?",0
"Спасибо, интересная подборка",0
"Риелторы, отзовитесь!",0
"Добавьте в группу, пожалуйста",0
"Скиньте Telegram канал",0
"Это вы с дрона снимали?",0
"Какая платформа у вас?",0
"Очень уютно выглядит",0
"Какая площадь у кухни?",0
"С кем можно поговорить по рекламе?",0
"Вы работаете по субподряду?",0
"Это макет или реальное здание?",0
"Где-то я уже это видел",0
"Какие у вас тарифы?",0
"Интересно, сколько стоит такой ремонт",0
"Просто лайкнул, красиво",0
"Спасибо, возьму на заметку",0
"Работаете с агентствами?",0
"Нужен юрист по недвижимости",0
"Какое у вас ИП?",0
"Кто занимается арендой на длительный срок?",0
"Делаете ли вы юридическое сопровождение?",0
"Когда будет вебинар?",0
"Скиньте презентацию",0
"Сколько стоит консультация?",0
"Это коммерция?",0
"Это вторичка или новостройка?",0
"Кто-то уже покупал в этом ЖК?",0
"Мне просто интересно, без планов",0
"Какие преимущества у этого ЖК?",0
"Сколько квартир в доме?",0
"Где находятся шоурумы?",0
"Можно ли инвестировать в проект?",0
"Кто-то уже сталкивался с этим?",0
"Хочу просто подписаться на вас",0
"Нужно фото в высоком качестве",0
"Просто мимо проходил",0
"Где найти описание проекта?",0
"Какие есть документы на объект?",0
"Это бизнес-класс?",0
"Кто-то покупал через маткапитал?",0
"Это жилой фонд?",0
"Спасибо, передам другу",0
"С кем можно обсудить сотрудничество?",0
"Я пока не определился с планами",0
"Вы работаете по всей России?",0
"Очень круто, удачи вам!",0
"Где можно узнать больше про ипотеку?",0
"Это ваш канал?",0
"Публикуйте побольше таких примеров",0
"Подскажите, где оформить ИЖС?",0
"Мне просто понравилось оформление",0
"Кто-то заказывал у них?",0
"Сколько стоит квадрат в этом районе?",0
"Какие альтернативы есть?",0
"Что скажете про инфраструктуру?",0
"Где находится ближайшее метро?",0
"Кто оформляет прописку?",0
"Какой банк лучше для ипотеки?",0
"Кто поможет с дизайном?",0
"Есть ли школы рядом?",0
"Просто листаю, ничего не ищу",0
"куплю квартиру в сочи",1
"куплю дом в анапе",1
"куплю новостройку в краснодаре",1
"куплю дачу у моря",1
"куплю квартиру с видом на море",1
"куплю жильё в геленджике",1
"куплю дом в туапсе",1
"куплю квартиру в новостройке",1
"куплю квартиру в центре города",1
"куплю дом с большим участком",1
"куплю квартиру недорого",1
"куплю квартиру в пригороде",1
"куплю жильё для семьи",1
"куплю дом в экологически чистом районе",1
"куплю квартиру с ремонтом",1
"куплю квартиру без посредников",1
"куплю дом с садом",1
"куплю квартиру с парковкой",1
"куплю квартиру у моря",1
"куплю новостройку в анапе",1
"куплю квартиру в районе с развитой инфраструктурой",1
"куплю жильё в лазаревском",1
"куплю квартиру в сочи недорого",1
"куплю дом с баней",1
"куплю квартиру с большой кухней",1
"куплю квартиру в жк зелёный берег",1
"куплю дом с гаражом",1
"куплю квартиру с двумя спальнями",1
"куплю квартиру рядом с морем",1
"куплю дом в районе школы",1
"куплю квартиру в центре краснодара",1
"куплю жильё на юге россии",1
"куплю новостройку в туапсе",1
"куплю квартиру в анапской новостройке",1
"куплю дом в посёлке",1
"куплю квартиру для сдачи в аренду",1
"куплю жильё с ремонтом",1
"куплю квартиру с лоджией",1
"куплю дом с бассейном",1
"куплю квартиру в краснодарском крае",1
"куплю квартиру с балконом",1
"куплю дом в районе парка",1
"куплю квартиру эконом класса",1
"куплю квартиру в районе моря",1
"куплю квартиру для семьи с детьми",1
"куплю дом с видом на горы",1
"куплю квартиру в новом районе",1
"куплю жильё в курортном городе",1
"куплю квартиру в жилом комплексе",1
"куплю дом с ремонтом",1
"куплю квартиру с хорошим ремонтом",1
"куплю квартиру возле моря",1
"куплю дом недорого",1
"куплю квартиру в анапе недорого",1
"куплю жильё в сочи с видом на море",1
"куплю квартиру в краснодаре с ремонтом",1
"куплю квартиру в районе центра",1
"куплю дом на побережье",1
"куплю квартиру с большой площадью",1
"куплю жильё рядом с парком",1
"куплю квартиру с ремонтом и мебелью",1
"куплю квартиру в жк молодёжный",1
"куплю дом в тихом районе",1
"куплю квартиру в краснодаре недорого",1
"куплю квартиру в новом доме",1
"куплю жильё в курортной зоне",1
"куплю квартиру с большой кухней",1
"куплю дом с участком",1
"куплю квартиру с видом на парк",1
"куплю квартиру в жк солнечный",1
"куплю дом в пригороде краснодара",1
"куплю квартиру с ремонтом в сочи",1
"куплю жильё в районе моря",1
"куплю квартиру с мебелью",1
"куплю дом с отдельным входом",1
"куплю квартиру в новостройке недорого",1
"куплю квартиру в зелёном районе",1
"куплю жильё с ремонтом и техникой",1
"куплю квартиру с балконом в сочи",1
"куплю дом в курортном районе",1
"куплю квартиру с двумя комнатами",1
"куплю квартиру с видом на лес",1
"куплю дом в сосновом бору",1
"куплю квартиру эконом варианта",1
"куплю жильё с хорошей инфраструктурой",1
"куплю квартиру в центре анапы",1
"куплю дом с садом и огородом",1
"куплю квартиру в жк престижный",1
"куплю квартиру с высокими потолками",1
"Планирую покупку квартиры в Туапсе",1
"Ищу дом в Геленджике",1
"Хочу купить квартиру в Сочи",1
"Куплю квартиру в Анапе",1
"Интересует новостройка в Краснодаре",1
"Ищу жильё с ремонтом",1
"Планирую покупку дома с участком",1
"Хочу купить квартиру недалёко от моря",1
"Куплю квартиру с видом на горы",1
"Ищу квартиру для семьи",1
"Планирую приобретение квартиры в центре города",1
"Хочу купить новостройку",1
"Куплю квартиру в пригороде",1
"Ищу дом с большим участком",1
"Планирую покупку квартиры в жилом комплексе",1
"Хочу купить квартиру с парковкой",1
"Куплю квартиру с лоджией",1
"Ищу квартиру рядом с морем",1
"Планирую купить дом в экологически чистом районе",1
"Хочу приобрести квартиру с ремонтом",1
"Куплю квартиру недорого",1
"Ищу новостройку в Анапе",1
"Планирую покупку квартиры с мебелью",1
"Хочу купить дачу у моря",1
"Куплю квартиру с балконом",1
"Ищу квартиру для сдачи в аренду",1
"Планирую купить дом с баней",1
"Хочу приобрести квартиру в центре",1
"Куплю квартиру с двумя спальнями",1
"Ищу жильё в новом районе",1
"Планирую купить квартиру в ЖК Солнечный",1
"Хочу купить квартиру в Краснодаре",1
"Куплю квартиру с большой кухней",1
"Ищу дом на побережье",1
"Планирую покупку квартиры для инвестиций",1
"Хочу купить квартиру рядом с парком",1
"Куплю квартиру с ремонтом и мебелью",1
"Ищу квартиру с хорошей шумоизоляцией",1
"Планирую покупку квартиры с видом на море",1
"Хочу купить квартиру в районе с развитой инфраструктурой",1
"Куплю квартиру в Анапе",1
"Ищу дом в курортной зоне",1
"Планирую покупку квартиры с парковочным местом",1
"Хочу купить квартиру с просторной гостиной",1
"Куплю квартиру с ремонтом в новостройке",1
"Ищу квартиру для молодой семьи",1
"Планирую купить квартиру в Туапсе",1
"Хочу приобрести квартиру с высокими потолками",1
"Куплю дом с садом",1
"Ищу квартиру с отличным ремонтом",1
"Планирую покупку квартиры в новом жилом комплексе",1
"Хочу купить квартиру в Сочи недорого",1
"Куплю квартиру с лоджией и балконом",1
"Ищу дом с гаражом",1
"Планирую купить квартиру с хорошей планировкой",1
"Хочу купить квартиру с видом на лес",1
"Куплю квартиру в районе школы",1
"Ищу квартиру с мебелью и техникой",1
"Планирую покупку квартиры с дизайнерским ремонтом",1
"Хочу купить дом на окраине города",1
"Куплю квартиру с балконом и видом на парк",1
"Ищу квартиру с большой площадью",1
"Планирую купить квартиру с кухней-студией",1
"Хочу купить квартиру в ЖК Молодёжный",1
"Куплю квартиру с отдельным входом",1
"Ищу жильё с хорошей инфраструктурой",1
"Планирую покупку квартиры с подвалом",1
"Хочу купить квартиру с тёплыми полами",1
"Куплю дом с бассейном",1
"Ищу квартиру с высокими потолками",1
"Планирую покупку квартиры с кладовкой",1
"Хочу купить квартиру с выходом во двор",1
"Куплю квартиру в зелёном районе",1
"Ищу квартиру с видом на реку",1
"Планирую покупку квартиры с просторным холлом",1
"Хочу купить квартиру в новостройке недорого",1
"Куплю квартиру в курортном городе",1
"Ищу квартиру с балконом и лоджией",1
"Планирую покупку квартиры с возможностью перепланировки",1
"Хочу купить квартиру с хорошей шумоизоляцией",1
"Куплю квартиру в центре Анапы",1
"Ищу дом с большим участком и садом",1
"Планирую покупку квартиры с индивидуальным отоплением",1
"Хочу купить квартиру с видом на горы",1
"Куплю квартиру с двумя санузлами",1
"Ищу квартиру в районе с развитым транспортом",1
"Планирую покупку квартиры с видеонаблюдением",1
"Хочу купить квартиру с лифтом",1
"Куплю квартиру в ЖК Престиж",1
"Ищу квартиру с хорошей планировкой",1
"Планирую покупку квартиры с панорамными окнами",1
"Хочу купить квартиру с тёплой лоджией",1
"Куплю дом с гаражом и садом",1
"Ищу квартиру для сдачи в аренду",1
"Планирую покупку квартиры с хорошим ремонтом",1
"Хочу купить квартиру в районе с парком",1
"Куплю квартиру с новой сантехникой",1
"Ищу дом в пригороде Краснодара",1
"Планирую покупку квартиры с хорошей экологией",1
"Хочу купить квартиру с большой кухней и гостиной",1
"Куплю квартиру с кладовой комнатой",1
"Ищу квартиру с хорошей звукоизоляцией",1
"Планирую покупку квартиры с новым ремонтом",1
"Хочу купить квартиру в Туапсе",1
"Куплю квартиру с парковкой под домом",1
"Ищу дом в экологически чистом районе",1
"Планирую покупку квартиры с выходом на террасу",1
"Хочу купить квартиру с большой лоджией",1
"Куплю квартиру в ЖК Комфорт",1
"Ищу квартиру с мебелью и техникой",1
"Планирую покупку квартиры с ремонтом от застройщика",1
"Хочу купить дом с видом на море",1
"Куплю квартиру с тёплыми полами и хорошей отделкой",1
"Ищу квартиру с современным ремонтом",1
"Планирую покупку квартиры с отдельной кладовой",1
"Хочу купить квартиру с подвалом",1
"Куплю квартиру с большой прихожей",1
"Ищу дом в новостройке",1
"Планирую покупку квартиры с парковочным местом",1
"Хочу купить квартиру с кухней-студией",1
"Куплю квартиру с видом на парк и лес",1
"Ищу квартиру с хорошей шумоизоляцией",1
"Планирую покупку квартиры с ремонтом и мебелью",1
"Хочу купить квартиру в районе с развитой инфраструктурой",1
"Куплю квартиру с хорошим ремонтом в Анапе",1
"Ищу дом с большим участком",1
"Планирую покупку квартиры с новой сантехникой",1
"Хочу купить квартиру с балконом и видом на море",1
"Куплю квартиру с ремонтом от собственника",1
"Ищу квартиру для молодой семьи",1
"Планирую покупку квартиры с индивидуальным отоплением",1
"Хочу купить квартиру в центре города",1
"Куплю дом с баней и садом",1
"Ищу квартиру в курортном городе",1
"Планирую покупку квартиры с тёплыми полами",1
"Хочу купить квартиру с видом на реку",1
"Куплю квартиру в новостройке с ремонтом",1
"Ищу дом с гаражом",1
"Планирую покупку квартиры с лоджией",1
"Хочу купить квартиру с большой кухней",1
"Куплю квартиру с ремонтом и мебелью",1
"Ищу квартиру с видом на море",1
"Планирую покупку квартиры с парковкой",1
"Хочу купить квартиру в ЖК Молодёжный",1
"Куплю квартиру с отдельным входом",1
"Ищу жильё в курортной зоне",1
"Планирую покупку квартиры в новостройке",1
"Хочу купить дом с большим участком",1
"Куплю квартиру недорого",1
"Ищу квартиру с новым ремонтом",1
"Планирую покупку квартиры с большой гостиной",1
"Хочу купить квартиру с видом на лес",1
"Куплю квартиру в Анапе",1
"Ищу квартиру с хорошей планировкой",1
"Планирую покупку квартиры с дизайнерским ремонтом",1
"Хочу купить квартиру с лоджией",1
"Куплю квартиру с двумя спальнями",1
"Ищу дом в экологически чистом районе",1
"Планирую покупку квартиры с видом на горы",1
"Хочу купить квартиру с ремонтом от застройщика",1
"Куплю квартиру с просторной кухней",1
"Ищу квартиру с балконом и видом",1
"Планирую покупку квартиры с большой площадью",1
"Хочу купить квартиру с ремонтом и техникой",1
"Куплю квартиру с хорошей шумоизоляцией",1
"Привет, как дела?",0
"Кто смотрел вчерашний матч?",0
"Пойдём сегодня в кино?",0
"Какой сегодня день недели?",0
"Люблю слушать музыку вечером",0
"Ты уже видел новый фильм?",0
"Погода сегодня отличная для прогулки",0
"Нужно приготовить ужин",0
"Купил новую книгу",0
"Собираюсь на выходные в путешествие",0
"Как проходит твой день?",0
"Нужно купить продукты в магазине",0
"Пойду в спортзал после работы",0
"Сегодня хочу поиграть в видеоигры",0
"Где ближайшая кофейня?",0
"Планирую встретиться с друзьями",0
"Мне нравится этот сериал",0
"У меня завтра день рождения",0
"Нужно починить велосипед",0
"Завтра будет встреча с коллегами",0
"Какая музыка тебе нравится?",0
"Сколько стоит билет в театр?",0
"Ты видел последние новости?",0
"Люблю готовить новые блюда",0
"Сегодня прочитал интересную статью",0
"Пойду на концерт в выходные",0
"Погуляем в парке после работы?",0
"Что посоветуешь посмотреть?",0
"Слушаю подкасты по утрам",0
"Купил новый телефон",0
"Хочу научиться играть на гитаре",0
"Завтра будет дождь",0
"Куда поехать в отпуск?",0
"Понравился последний концерт",0
"Сегодня займусь уборкой",0
"Кто из вас знает хороший ресторан?",0
"В выходные хочу поспать подольше",0
"Готовлюсь к экзамену",0
"Люблю бегать по утрам",0
"Планирую начать изучать итальянский",0
"Нужно обновить программу на компьютере",0
"Сегодня слушал классическую музыку",0
"Завтра встреча с друзьями",0
"Кто играл в новую игру?",0
"Пошёл на рыбалку",0
"Смотрю новые сериалы",0
"Сегодня работал весь день",0
"Люблю чай с мёдом",0
"Пошёл в магазин за хлебом",0
"Хочу научиться готовить суши",0
"Завтра буду на тренировке",0
"Сегодня прочитал книгу о путешествиях",0
"Кто идёт на выставку?",0
"Планирую купить новый велосипед",0
"В выходные займусь спортом",0
"Собираюсь на фестиваль музыки",0
"Нужно почистить квартиру",0
"Сегодня изучаю программирование",0
"Купил новую куртку",0
"Пойду гулять с собакой",0
"Что посоветуешь почитать?",0
"Вечером смотрю фильм",0
"Нужно сделать ремонт в машине",0
"Планирую заняться йогой",0
"Кто знает хорошие книги?",0
"Сегодня сделал зарядку",0
"Собираюсь на пикник",0
"Завтра иду в театр",0
"Купил билет на концерт",0
"Пойду в бассейн",0
"Нужно забрать посылку",0
"Сегодня слушал джаз",0
"Планирую выучить французский язык",0
"Где можно купить хороший кофе?",0
"Занимаюсь фитнесом",0
"Пойду на выставку картин",0
"Кто играл в шахматы?",0
"Сегодня будет солнечно",0
"Нужно починить компьютер",0
"Планирую пойти в музей",0
"Купил новую книгу по истории",0
"Пойду в кафе вечером",0
"Сегодня сделал уборку",0
"Планирую заняться плаванием",0
"Кто идёт на пробежку?",0
"Пойду в кинотеатр",0
"Нужно купить подарок",0
"Сегодня слушал рок",0
"Планирую заняться рисованием",0
"Купил новый ноутбук",0
"Пойду на тренировку по футболу",0
"Завтра встречаюсь с друзьями",0
"Сегодня прочитал интересный блог",0
"Планирую начать бегать по утрам",0
"Кто хочет пойти в театр?",0
"Пошёл в парк с детьми",0
"Нужно записаться к врачу",0
"Пойду на выставку фотографий",0
"Сегодня слушал поп-музыку",0
"Планирую заняться танцами",0
"Купил новую футболку",0
"Пойду в спортзал вечером",0
"Завтра поеду на природу",0
"Сегодня сделал зарядку на улице",0
"Планирую начать изучать испанский",0
"Кто знает хороший фильм?",0
"Пойду в книжный магазин",0
"Нужно обновить антивирус",0
"Сегодня слушал классику",0
"Планирую заняться фотографией",0
"Купил новую сумку",0
"Пойду на концерт классической музыки",0
"Завтра буду на прогулке",0
"Сегодня прочитал статью про спорт",0
"Планирую начать учиться игре на пианино",0
"Кто идёт на марафон?",0
"Пошёл в кафе с друзьями",0
"Нужно подготовиться к экзамену",0
"Пойду в театр вечером",0
"Сегодня слушал электронику",0
"Планирую заняться садоводством",0
"Купил новый рюкзак",0
"Пойду в бассейн после работы",0
"Завтра встречаюсь с родственниками",0
"Сегодня сделал уборку на балконе",0
"Планирую начать бегать марафоны",0
"Кто знает хорошие рестораны?",0
"Пойду на выставку современного искусства",0
"Нужно купить новый телефон",0
"Сегодня слушал блюз",0
"Планирую заняться скейтбордингом",0
"Купил новые наушники",0
"Пойду в кино с друзьями",0
"Завтра поеду в горы",0
"Сегодня сделал зарядку дома",0
"Планирую начать учиться кулинарии",0
"Кто идёт на концерт рок-музыки?",0
"Пошёл в спортзал утром",0
"Нужно сходить в аптеку",0
"Пойду на вечерний променад",0
"Сегодня слушал инди-рок",0
"Планирую заняться вязанием",0
"Купил новый велосипед",0
"Пойду на йогу",0
"Завтра буду на выставке",0
"Сегодня прочитал книгу про путешествия",0
"Планирую начать изучать китайский",0
"Кто идёт на пикник?",0
"Пошёл в кафе на обед",0
"Нужно сделать ремонт в квартире",0
"Пойду на танцы вечером",0
"Сегодня слушал хип-хоп",0
"Планирую заняться боксом",0
"Купил новую кофту",0
"Пойду в театр с семьёй",0
"Завтра встречаюсь с друзьями",0
"Сегодня сделал уборку в гараже",0
"Планирую начать изучать фотографию",0
"Кто идёт на пробежку утром?",0
"Пошёл в парк гулять",0
"Нужно обновить компьютер",0
"Пойду в кафе вечером",0
"Сегодня слушал регги",0
"Планирую заняться йогой на природе",0
"Купил новые ботинки",0
"Пойду на выставку животных",0
"Завтра поеду на рыбалку",0
"Сегодня прочитал интересный блог",0
"Планирую начать учиться рисовать",0
"Кто идёт в поход?",0
"Пошёл в библиотеку",0
"Нужно сделать зарядку",0
"Пойду на концерт джаза",0
"Сегодня слушал метал",0
"Планирую заняться плаванием",0
"Купил новый рюкзак для путешествий",0
"Пойду в кинотеатр с друзьями",0
"Завтра буду на фестивале",0
"Сегодня сделал уборку на балконе",0
"Планирую начать изучать программирование",0
"Кто идёт на йогу?",0
"Пошёл в парк на пробежку",0
"Нужно купить билет на поезд",0
"Пойду в музей искусств",0
"Сегодня слушал поп-рок",0
"Планирую заняться плаванием в бассейне",0
"Купил новые очки",0
"Пойду на вечернюю прогулку",0
"Завтра встречаюсь с родственниками",0
"Сегодня прочитал статью про спорт",0
"Планирую начать изучать испанский язык",0
"Купил вчера килограмм яблок в Магните",0
"Покупаю арбуз обычно в середине-конце июля. Тогда они сладкие, а сейчас смысла нет - торопится то некуда",0
